series_id,title_display,pillar,freq,ingest,role,is_derived,derived_from,origin
AHETPI,Average hourly earnings (production & nonsupervisory),inflation,M,monthly,series,0,,
AWHMAN,"Average weekly hours, manufacturing (production & nonsupervisory)",growth,M,monthly,series,0,,
BAA10Y,Baa corporate bond minus 10-year Treasury spread,credit,D,daily,series,0,,initial
BAMLH0A0HYM2,US high-yield bond OAS,,D,daily,context,0,,
BOGMBASE,Component of World Dollar (US dollar liquidity),,,weekly,component,0,,
CPILFESL,Core CPI (excluding food & energy),inflation,M,monthly,series,0,,
DCOILWTICO,WTI crude oil price,inflation,D,daily,series,0,,
DEXJPUS,USD/JPY exchange rate,dollar,D,daily,series,0,,
DFF,"Fed funds rate (effective, daily)",,D,daily,context,0,,
DFII10,10-year real rate (TIPS yield),financial,D,daily,series,0,,
DGS10,10-year Treasury yield (long-term rate),financial,D,daily,series,0,,initial
DGS2,2-year Treasury yield,,D,daily,context,0,,
DGS30,30-year Treasury yield,,D,daily,context,0,,
DGS3MO,3-month Treasury yield,,D,daily,context,0,,
DGS5,5-year Treasury yield,,D,daily,context,0,,
DRTSCILM,"Bank lending standards (SLOOS, large & medium firms)",credit,Q,monthly,series,0,,
DTWEXBGS,"Trade-weighted dollar index (broad, goods & services)",dollar,D,daily,series,0,,
FEDFUNDS,Fed funds rate (effective),financial,M,monthly,series,0,,initial
FEDTARMDLR,FOMC longer-run fed funds projection (median),,Q,monthly,context,0,,
ICSA,Initial jobless claims,growth,W,weekly,series,0,,
INDPRO,Industrial production index,growth,M,monthly,series,0,,
NET_LIQUIDITY,Fed net liquidity,financial,W,weekly,derived,1,WALCL|RRPONTSYD|WTREGEN,
NEWORDER,"Core capital goods orders (nondefense, excluding aircraft)",growth,M,monthly,series,0,,
NFCI,Chicago Fed National Financial Conditions Index,financial,W,weekly,series,0,,
PAYEMS,Nonfarm payroll employment,growth,M,monthly,series,0,,
PCEPILFE,Core PCE price index,inflation,M,monthly,series,0,,
PERMIT,Housing building permits,growth,M,monthly,series,0,,
RRPONTSYD,Component of Fed net liquidity,,,weekly,component,0,,
SAHMREALTIME,Sahm rule recession indicator,,M,monthly,context,0,,
T10Y3M,Yield curve (10-year minus 3-month),financial,D,daily,series,0,,
T10YFF,10-year yield minus the fed funds rate,financial,D,daily,series,0,,initial
T10YIE,Expected inflation (10-year breakeven),inflation,D,daily,series,0,,
T5YIFR,"5-year, 5-year forward expected inflation rate",inflation,D,daily,series,0,,
UMCSENT,University of Michigan consumer sentiment index,growth,M,monthly,series,0,,
USREC,NBER recession flag,,M,monthly,context,0,,
VIXCLS,VIX index,credit,D,daily,series,0,,
WALCL,Component of Fed net liquidity,,,weekly,component,0,,
WMTSECL1,Component of World Dollar (US dollar liquidity),,,weekly,component,0,,
WORLD_DOLLAR,World Dollar (US dollar liquidity),dollar,W,weekly,derived,1,BOGMBASE|WMTSECL1,
WTREGEN,Component of Fed net liquidity,,,weekly,component,0,,
